epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,561.468,0.64076,0.72484,1.06652,0.86242,0.7816,0.81893,0.61102,1.27461,1.07448,1.98209,0.000742625,0.000742625,0.000742625
43,574.221,0.645,0.7307,1.06301,0.86376,0.79562,0.82693,0.58185,1.21009,1.07886,1.96255,0.00073025,0.00073025,0.00073025
44,587.269,0.62696,0.70693,1.05774,0.82589,0.8079,0.80826,0.5681,1.20139,1.19291,1.84238,0.000717875,0.000717875,0.000717875
45,600.139,0.64252,0.71597,1.06981,0.8559,0.76614,0.76612,0.54538,1.28158,1.16857,1.96616,0.0007055,0.0007055,0.0007055
46,613.232,0.63016,0.6994,1.06582,0.71527,0.70417,0.69562,0.52345,1.38252,1.13801,2.14859,0.000693125,0.000693125,0.000693125
47,625.778,0.62983,0.68365,1.06238,0.77297,0.73864,0.74741,0.52639,1.33788,1.15664,2.0459,0.00068075,0.00068075,0.00068075
48,639.157,0.59033,0.67194,1.05273,0.84297,0.81756,0.84785,0.5898,1.40708,1.22702,2.18273,0.000668375,0.000668375,0.000668375
49,651.971,0.60671,0.68043,1.06117,0.84698,0.725,0.71621,0.53136,1.27245,1.5448,2.03634,0.000656,0.000656,0.000656
50,666.323,0.61835,0.6615,1.04612,0.77721,0.69781,0.72267,0.52983,1.28266,1.29835,2.02008,0.000643625,0.000643625,0.000643625
51,679.286,0.60547,0.67433,1.04843,0.77886,0.77077,0.76986,0.52622,1.35905,1.52395,2.20781,0.00063125,0.00063125,0.00063125
52,692.209,0.56031,0.62438,1.02158,0.89648,0.72847,0.77679,0.54304,1.293,1.2305,2.08748,0.000618875,0.000618875,0.000618875
53,705.106,0.56502,0.62186,1.03238,0.82634,0.82734,0.81459,0.56193,1.34736,1.22484,2.10577,0.0006065,0.0006065,0.0006065
54,718.335,0.58239,0.64378,1.02472,0.69787,0.75,0.73888,0.54789,1.37144,1.1251,2.16499,0.000594125,0.000594125,0.000594125
55,731.161,0.56935,0.60921,1.02227,0.74567,0.84455,0.77967,0.56299,1.30918,1.20308,2.15581,0.00058175,0.00058175,0.00058175
56,744.171,0.57314,0.63971,1.04388,0.86832,0.60958,0.69406,0.46148,1.30016,1.14646,2.09607,0.000569375,0.000569375,0.000569375
57,757.161,0.56268,0.59181,1.0201,0.77479,0.83931,0.79042,0.57308,1.34819,1.16783,2.15278,0.000557,0.000557,0.000557
58,770.391,0.55523,0.59997,1.02942,0.80942,0.78372,0.7728,0.56297,1.31055,1.2589,2.07815,0.000544625,0.000544625,0.000544625
59,783.461,0.54374,0.5853,1.01237,0.8754,0.77072,0.76946,0.532,1.41598,1.33345,2.24723,0.00053225,0.00053225,0.00053225
60,796.641,0.55144,0.59483,1.02234,0.83518,0.7599,0.77672,0.56924,1.29284,1.34397,2.10732,0.000519875,0.000519875,0.000519875
61,809.568,0.5466,0.56973,1.00548,0.89897,0.70833,0.77642,0.57906,1.1595,1.29605,1.92478,0.0005075,0.0005075,0.0005075
62,822.705,0.53996,0.58344,1.01706,0.89177,0.75327,0.81114,0.57039,1.22887,1.26554,1.99619,0.000495125,0.000495125,0.000495125
63,835.648,0.52347,0.55785,1.00221,0.92147,0.78818,0.82965,0.58173,1.30886,1.13889,2.0388,0.00048275,0.00048275,0.00048275
64,848.857,0.52774,0.5526,1.00586,0.70719,0.76985,0.75224,0.57743,1.31031,1.05053,2.08019,0.000470375,0.000470375,0.000470375
65,862.116,0.52974,0.54695,1.01136,0.84744,0.73331,0.75887,0.54244,1.28643,1.1714,2.08535,0.000458,0.000458,0.000458
66,875.336,0.51769,0.54311,0.99629,0.82403,0.79103,0.80477,0.57401,1.32511,1.17105,2.12576,0.000445625,0.000445625,0.000445625
67,888.381,0.49869,0.52228,0.99517,0.65091,0.78632,0.73116,0.57355,1.23772,1.18197,2.03582,0.00043325,0.00043325,0.00043325
68,901.352,0.51028,0.52961,0.99031,0.78764,0.69081,0.70282,0.53101,1.29473,1.39559,2.14541,0.000420875,0.000420875,0.000420875
69,915.956,0.51696,0.54252,1.00428,0.74586,0.75994,0.78633,0.5716,1.30651,1.3067,2.09836,0.0004085,0.0004085,0.0004085
70,928.847,0.48576,0.52044,0.98518,0.8307,0.78333,0.76778,0.57183,1.24887,1.28862,2.06343,0.000396125,0.000396125,0.000396125
71,942.276,0.50071,0.51872,0.99713,0.77437,0.70249,0.73153,0.55125,1.28762,1.23424,2.1171,0.00038375,0.00038375,0.00038375
72,955.658,0.48488,0.51066,0.9836,0.65114,0.85,0.80378,0.57449,1.29462,1.16736,2.17887,0.000371375,0.000371375,0.000371375
73,968.931,0.50799,0.51666,1.00621,0.74665,0.77186,0.76814,0.54158,1.32128,1.27904,2.20124,0.000359,0.000359,0.000359
